fold,recipient_image_path,recipient_species,recipient_group,donor_image_path,donor_species,donor_group,donor_mask_original_area_fraction,donor_foreground_pixels_after_resize,donor_foreground_pixels_outside_recipient_hard_mask,donor_foreground_fraction_of_full_composite,donor_foreground_fraction_of_donor_region,donor_foreground_fraction_alpha_weighted,donor_foreground_fraction_donor_region_alpha_weighted
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00109.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003572185521_19337.png,5,05::003572185521,0.11440245148110317,2318,653,0.032205563227461036,0.03612325053935941,0.03229284659028053,0.036221154034137726
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00110.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003537135434_23648.png,2,02::003537135434,0.12823898333058262,2396,705,0.03721494932432432,0.04200929567393636,0.03753901645541191,0.0423751138150692
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00111.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004559407385_11119.png,5,05::004559407385,0.1517664023071377,2903,1203,0.06252598752598752,0.06985251422599001,0.06270240247249603,0.07004960626363754
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00112.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000011769599_08318.png,4,04::000011769599,0.12771739130434784,2232,792,0.045081967213114756,0.05057794239734338,0.04526817053556442,0.05078684538602829
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00113.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_09\fish_003527285419_23071.png,9,09::003527285419,0.12074545251646021,2123,808,0.04599271402550091,0.051330919255447555,0.046207018196582794,0.051570095121860504
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00114.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003568255517_18225.png,2,02::003568255517,0.13355874894336434,2449,949,0.05194023315636802,0.057196239151398265,0.05212382972240448,0.057398416101932526
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00115.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000018169599_08677.png,4,04::000018169599,0.11742424242424243,2539,369,0.017209215558250165,0.020066344010005982,0.01753016747534275,0.02044058032333851
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004350001_00116.png,1,01::000004350001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003709355845_24146.png,2,02::003709355845,0.13059975520195838,3504,389,0.014471726190476191,0.016979484941073767,0.01471670251339674,0.017266912385821342
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004350001_00117.png,1,01::000004350001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004496577272_13402.png,5,05::004496577272,0.15922619047619047,5238,1738,0.05262839147286822,0.06034512690531579,0.05279669538140297,0.06053810939192772
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004350001_00118.png,1,01::000004350001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004521827325_26555.png,3,03::004521827325,0.11447652455477604,3771,493,0.014928536821705427,0.01711864995312337,0.015243220143020153,0.01747949980199337
